Panjang_Sepal,Lebar_Sepal,Panjang_Petal,Lebar_Petal,Species,Petal.Area,Panjang_Petal_Str,Species_Code,Is_Panjang,Species_Upper,Habitat
5.1,3.5,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
4.9,3.0,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
4.7,3.2,1.3,0.2,setosa,0.26,1.3,S,False,SETOSA,Sunny Meadow
4.6,3.1,1.5,0.2,setosa,0.30000000000000004,1.5,S,False,SETOSA,Sunny Meadow
5.0,3.6,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
5.4,3.9,1.7,0.4,setosa,0.68,1.7,S,False,SETOSA,Sunny Meadow
4.6,3.4,1.4,0.3,setosa,0.42,1.4,S,False,SETOSA,Sunny Meadow
5.0,3.4,1.5,0.2,setosa,0.30000000000000004,1.5,S,False,SETOSA,Sunny Meadow
4.4,2.9,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
4.9,3.1,1.5,0.1,setosa,0.15000000000000002,1.5,S,False,SETOSA,Sunny Meadow
5.4,3.7,1.5,0.2,setosa,0.30000000000000004,1.5,S,False,SETOSA,Sunny Meadow
4.8,3.4,1.6,0.2,setosa,0.32000000000000006,1.6,S,False,SETOSA,Sunny Meadow
4.8,3.0,1.4,0.1,setosa,0.13999999999999999,1.4,S,False,SETOSA,Sunny Meadow
4.3,3.0,1.1,0.1,setosa,0.11000000000000001,1.1,S,False,SETOSA,Sunny Meadow
5.8,4.0,1.2,0.2,setosa,0.24,1.2,S,False,SETOSA,Sunny Meadow
5.7,4.4,1.5,0.4,setosa,0.6000000000000001,1.5,S,False,SETOSA,Sunny Meadow
5.4,3.9,1.3,0.4,setosa,0.52,1.3,S,False,SETOSA,Sunny Meadow
5.1,3.5,1.4,0.3,setosa,0.42,1.4,S,False,SETOSA,Sunny Meadow
5.7,3.8,1.7,0.3,setosa,0.51,1.7,S,False,SETOSA,Sunny Meadow
5.1,3.8,1.5,0.3,setosa,0.44999999999999996,1.5,S,False,SETOSA,Sunny Meadow
5.4,3.4,1.7,0.2,setosa,0.34,1.7,S,False,SETOSA,Sunny Meadow
5.1,3.7,1.5,0.4,setosa,0.6000000000000001,1.5,S,False,SETOSA,Sunny Meadow
4.6,3.6,1.0,0.2,setosa,0.2,1.0,S,False,SETOSA,Sunny Meadow
5.1,3.3,1.7,0.5,setosa,0.85,1.7,S,False,SETOSA,Sunny Meadow
4.8,3.4,1.9,0.2,setosa,0.38,1.9,S,False,SETOSA,Sunny Meadow
5.0,3.0,1.6,0.2,setosa,0.32000000000000006,1.6,S,False,SETOSA,Sunny Meadow
5.0,3.4,1.6,0.4,setosa,0.6400000000000001,1.6,S,False,SETOSA,Sunny Meadow
5.2,3.5,1.5,0.2,setosa,0.30000000000000004,1.5,S,False,SETOSA,Sunny Meadow
5.2,3.4,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
4.7,3.2,1.6,0.2,setosa,0.32000000000000006,1.6,S,False,SETOSA,Sunny Meadow
4.8,3.1,1.6,0.2,setosa,0.32000000000000006,1.6,S,False,SETOSA,Sunny Meadow
5.4,3.4,1.5,0.4,setosa,0.6000000000000001,1.5,S,False,SETOSA,Sunny Meadow
5.2,4.1,1.5,0.1,setosa,0.15000000000000002,1.5,S,False,SETOSA,Sunny Meadow
5.5,4.2,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
4.9,3.1,1.5,0.2,setosa,0.30000000000000004,1.5,S,False,SETOSA,Sunny Meadow
5.0,3.2,1.2,0.2,setosa,0.24,1.2,S,False,SETOSA,Sunny Meadow
5.5,3.5,1.3,0.2,setosa,0.26,1.3,S,False,SETOSA,Sunny Meadow
4.9,3.6,1.4,0.1,setosa,0.13999999999999999,1.4,S,False,SETOSA,Sunny Meadow
4.4,3.0,1.3,0.2,setosa,0.26,1.3,S,False,SETOSA,Sunny Meadow
5.1,3.4,1.5,0.2,setosa,0.30000000000000004,1.5,S,False,SETOSA,Sunny Meadow
5.0,3.5,1.3,0.3,setosa,0.39,1.3,S,False,SETOSA,Sunny Meadow
4.5,2.3,1.3,0.3,setosa,0.39,1.3,S,False,SETOSA,Sunny Meadow
4.4,3.2,1.3,0.2,setosa,0.26,1.3,S,False,SETOSA,Sunny Meadow
5.0,3.5,1.6,0.6,setosa,0.96,1.6,S,False,SETOSA,Sunny Meadow
5.1,3.8,1.9,0.4,setosa,0.76,1.9,S,False,SETOSA,Sunny Meadow
4.8,3.0,1.4,0.3,setosa,0.42,1.4,S,False,SETOSA,Sunny Meadow
5.1,3.8,1.6,0.2,setosa,0.32000000000000006,1.6,S,False,SETOSA,Sunny Meadow
4.6,3.2,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
5.3,3.7,1.5,0.2,setosa,0.30000000000000004,1.5,S,False,SETOSA,Sunny Meadow
5.0,3.3,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
7.0,3.2,4.7,1.4,versicolor,6.58,4.7,VE,False,VERSICOLOR,Wetland
6.4,3.2,4.5,1.5,versicolor,6.75,4.5,VE,False,VERSICOLOR,Wetland
6.9,3.1,4.9,1.5,versicolor,7.3500000000000005,4.9,VE,False,VERSICOLOR,Wetland
5.5,2.3,4.0,1.3,versicolor,5.2,4.0,VE,False,VERSICOLOR,Wetland
6.5,2.8,4.6,1.5,versicolor,6.8999999999999995,4.6,VE,False,VERSICOLOR,Wetland
5.7,2.8,4.5,1.3,versicolor,5.8500000000000005,4.5,VE,False,VERSICOLOR,Wetland
6.3,3.3,4.7,1.6,versicolor,7.5200000000000005,4.7,VE,False,VERSICOLOR,Wetland
4.9,2.4,3.3,1.0,versicolor,3.3,3.3,VE,False,VERSICOLOR,Wetland
6.6,2.9,4.6,1.3,versicolor,5.9799999999999995,4.6,VE,False,VERSICOLOR,Wetland
5.2,2.7,3.9,1.4,versicolor,5.46,3.9,VE,False,VERSICOLOR,Wetland
5.0,2.0,3.5,1.0,versicolor,3.5,3.5,VE,False,VERSICOLOR,Wetland
5.9,3.0,4.2,1.5,versicolor,6.300000000000001,4.2,VE,False,VERSICOLOR,Wetland
6.0,2.2,4.0,1.0,versicolor,4.0,4.0,VE,False,VERSICOLOR,Wetland
6.1,2.9,4.7,1.4,versicolor,6.58,4.7,VE,False,VERSICOLOR,Wetland
5.6,2.9,3.6,1.3,versicolor,4.680000000000001,3.6,VE,False,VERSICOLOR,Wetland
6.7,3.1,4.4,1.4,versicolor,6.16,4.4,VE,False,VERSICOLOR,Wetland
5.6,3.0,4.5,1.5,versicolor,6.75,4.5,VE,False,VERSICOLOR,Wetland
5.8,2.7,4.1,1.0,versicolor,4.1,4.1,VE,False,VERSICOLOR,Wetland
6.2,2.2,4.5,1.5,versicolor,6.75,4.5,VE,False,VERSICOLOR,Wetland
5.6,2.5,3.9,1.1,versicolor,4.29,3.9,VE,False,VERSICOLOR,Wetland
5.9,3.2,4.8,1.8,versicolor,8.64,4.8,VE,False,VERSICOLOR,Wetland
6.1,2.8,4.0,1.3,versicolor,5.2,4.0,VE,False,VERSICOLOR,Wetland
6.3,2.5,4.9,1.5,versicolor,7.3500000000000005,4.9,VE,False,VERSICOLOR,Wetland
6.1,2.8,4.7,1.2,versicolor,5.64,4.7,VE,False,VERSICOLOR,Wetland
6.4,2.9,4.3,1.3,versicolor,5.59,4.3,VE,False,VERSICOLOR,Wetland
6.6,3.0,4.4,1.4,versicolor,6.16,4.4,VE,False,VERSICOLOR,Wetland
6.8,2.8,4.8,1.4,versicolor,6.72,4.8,VE,False,VERSICOLOR,Wetland
6.7,3.0,5.0,1.7,versicolor,8.5,5.0,VE,False,VERSICOLOR,Wetland
6.0,2.9,4.5,1.5,versicolor,6.75,4.5,VE,False,VERSICOLOR,Wetland
5.7,2.6,3.5,1.0,versicolor,3.5,3.5,VE,False,VERSICOLOR,Wetland
5.5,2.4,3.8,1.1,versicolor,4.18,3.8,VE,False,VERSICOLOR,Wetland
5.5,2.4,3.7,1.0,versicolor,3.7,3.7,VE,False,VERSICOLOR,Wetland
5.8,2.7,3.9,1.2,versicolor,4.68,3.9,VE,False,VERSICOLOR,Wetland
6.0,2.7,5.1,1.6,versicolor,8.16,5.1,VE,True,VERSICOLOR,Wetland
5.4,3.0,4.5,1.5,versicolor,6.75,4.5,VE,False,VERSICOLOR,Wetland
6.0,3.4,4.5,1.6,versicolor,7.2,4.5,VE,False,VERSICOLOR,Wetland
6.7,3.1,4.7,1.5,versicolor,7.050000000000001,4.7,VE,False,VERSICOLOR,Wetland
6.3,2.3,4.4,1.3,versicolor,5.720000000000001,4.4,VE,False,VERSICOLOR,Wetland
5.6,3.0,4.1,1.3,versicolor,5.33,4.1,VE,False,VERSICOLOR,Wetland
5.5,2.5,4.0,1.3,versicolor,5.2,4.0,VE,False,VERSICOLOR,Wetland
5.5,2.6,4.4,1.2,versicolor,5.28,4.4,VE,False,VERSICOLOR,Wetland
6.1,3.0,4.6,1.4,versicolor,6.4399999999999995,4.6,VE,False,VERSICOLOR,Wetland
5.8,2.6,4.0,1.2,versicolor,4.8,4.0,VE,False,VERSICOLOR,Wetland
5.0,2.3,3.3,1.0,versicolor,3.3,3.3,VE,False,VERSICOLOR,Wetland
5.6,2.7,4.2,1.3,versicolor,5.460000000000001,4.2,VE,False,VERSICOLOR,Wetland
5.7,3.0,4.2,1.2,versicolor,5.04,4.2,VE,False,VERSICOLOR,Wetland
5.7,2.9,4.2,1.3,versicolor,5.460000000000001,4.2,VE,False,VERSICOLOR,Wetland
6.2,2.9,4.3,1.3,versicolor,5.59,4.3,VE,False,VERSICOLOR,Wetland
5.1,2.5,3.0,1.1,versicolor,3.3000000000000003,3.0,VE,False,VERSICOLOR,Wetland
5.7,2.8,4.1,1.3,versicolor,5.33,4.1,VE,False,VERSICOLOR,Wetland
6.3,3.3,6.0,2.5,virginica,15.0,6.0,VI,True,VIRGINICA,Forest Edge
5.8,2.7,5.1,1.9,virginica,9.69,5.1,VI,True,VIRGINICA,Forest Edge
7.1,3.0,5.9,2.1,virginica,12.39,5.9,VI,True,VIRGINICA,Forest Edge
6.3,2.9,5.6,1.8,virginica,10.08,5.6,VI,True,VIRGINICA,Forest Edge
6.5,3.0,5.8,2.2,virginica,12.76,5.8,VI,True,VIRGINICA,Forest Edge
7.6,3.0,6.6,2.1,virginica,13.86,6.6,VI,True,VIRGINICA,Forest Edge
4.9,2.5,4.5,1.7,virginica,7.6499999999999995,4.5,VI,False,VIRGINICA,Forest Edge
7.3,2.9,6.3,1.8,virginica,11.34,6.3,VI,True,VIRGINICA,Forest Edge
6.7,2.5,5.8,1.8,virginica,10.44,5.8,VI,True,VIRGINICA,Forest Edge
7.2,3.6,6.1,2.5,virginica,15.25,6.1,VI,True,VIRGINICA,Forest Edge
6.5,3.2,5.1,2.0,virginica,10.2,5.1,VI,True,VIRGINICA,Forest Edge
6.4,2.7,5.3,1.9,virginica,10.069999999999999,5.3,VI,True,VIRGINICA,Forest Edge
6.8,3.0,5.5,2.1,virginica,11.55,5.5,VI,True,VIRGINICA,Forest Edge
5.7,2.5,5.0,2.0,virginica,10.0,5.0,VI,False,VIRGINICA,Forest Edge
5.8,2.8,5.1,2.4,virginica,12.239999999999998,5.1,VI,True,VIRGINICA,Forest Edge
6.4,3.2,5.3,2.3,virginica,12.19,5.3,VI,True,VIRGINICA,Forest Edge
6.5,3.0,5.5,1.8,virginica,9.9,5.5,VI,True,VIRGINICA,Forest Edge
7.7,3.8,6.7,2.2,virginica,14.740000000000002,6.7,VI,True,VIRGINICA,Forest Edge
7.7,2.6,6.9,2.3,virginica,15.87,6.9,VI,True,VIRGINICA,Forest Edge
6.0,2.2,5.0,1.5,virginica,7.5,5.0,VI,False,VIRGINICA,Forest Edge
6.9,3.2,5.7,2.3,virginica,13.11,5.7,VI,True,VIRGINICA,Forest Edge
5.6,2.8,4.9,2.0,virginica,9.8,4.9,VI,False,VIRGINICA,Forest Edge
7.7,2.8,6.7,2.0,virginica,13.4,6.7,VI,True,VIRGINICA,Forest Edge
6.3,2.7,4.9,1.8,virginica,8.82,4.9,VI,False,VIRGINICA,Forest Edge
6.7,3.3,5.7,2.1,virginica,11.97,5.7,VI,True,VIRGINICA,Forest Edge
7.2,3.2,6.0,1.8,virginica,10.8,6.0,VI,True,VIRGINICA,Forest Edge
6.2,2.8,4.8,1.8,virginica,8.64,4.8,VI,False,VIRGINICA,Forest Edge
6.1,3.0,4.9,1.8,virginica,8.82,4.9,VI,False,VIRGINICA,Forest Edge
6.4,2.8,5.6,2.1,virginica,11.76,5.6,VI,True,VIRGINICA,Forest Edge
7.2,3.0,5.8,1.6,virginica,9.28,5.8,VI,True,VIRGINICA,Forest Edge
7.4,2.8,6.1,1.9,virginica,11.589999999999998,6.1,VI,True,VIRGINICA,Forest Edge
7.9,3.8,6.4,2.0,virginica,12.8,6.4,VI,True,VIRGINICA,Forest Edge
6.4,2.8,5.6,2.2,virginica,12.32,5.6,VI,True,VIRGINICA,Forest Edge
6.3,2.8,5.1,1.5,virginica,7.6499999999999995,5.1,VI,True,VIRGINICA,Forest Edge
6.1,2.6,5.6,1.4,virginica,7.839999999999999,5.6,VI,True,VIRGINICA,Forest Edge
7.7,3.0,6.1,2.3,virginica,14.029999999999998,6.1,VI,True,VIRGINICA,Forest Edge
6.3,3.4,5.6,2.4,virginica,13.44,5.6,VI,True,VIRGINICA,Forest Edge
6.4,3.1,5.5,1.8,virginica,9.9,5.5,VI,True,VIRGINICA,Forest Edge
6.0,3.0,4.8,1.8,virginica,8.64,4.8,VI,False,VIRGINICA,Forest Edge
6.9,3.1,5.4,2.1,virginica,11.340000000000002,5.4,VI,True,VIRGINICA,Forest Edge
6.7,3.1,5.6,2.4,virginica,13.44,5.6,VI,True,VIRGINICA,Forest Edge
6.9,3.1,5.1,2.3,virginica,11.729999999999999,5.1,VI,True,VIRGINICA,Forest Edge
5.8,2.7,5.1,1.9,virginica,9.69,5.1,VI,True,VIRGINICA,Forest Edge
6.8,3.2,5.9,2.3,virginica,13.57,5.9,VI,True,VIRGINICA,Forest Edge
6.7,3.3,5.7,2.5,virginica,14.25,5.7,VI,True,VIRGINICA,Forest Edge
6.7,3.0,5.2,2.3,virginica,11.959999999999999,5.2,VI,True,VIRGINICA,Forest Edge
6.3,2.5,5.0,1.9,virginica,9.5,5.0,VI,False,VIRGINICA,Forest Edge
6.5,3.0,5.2,2.0,virginica,10.4,5.2,VI,True,VIRGINICA,Forest Edge
6.2,3.4,5.4,2.3,virginica,12.42,5.4,VI,True,VIRGINICA,Forest Edge
5.9,3.0,5.1,1.8,virginica,9.18,5.1,VI,True,VIRGINICA,Forest Edge
